id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5.65172E+17,Lovely 1 bed apartment close to MVP Arena,232967878,Diana,,SECOND WARD,42.64342,-73.75742,Entire home/apt,118,1,91,28/10/2024,2.6,23,74,25,
5.81058E+17,É??UNIQUEÉ?? spacious LOFT with photo studio w/d!,47625981,Linda,,THIRD WARD,42.65848,-73.76359,Entire home/apt,115,1,43,18/11/2024,1.26,18,364,6,
5.88298E+17,Modern one bedroom with free off street parking,353498132,Michael,,SECOND WARD,42.64441,-73.75647,Entire home/apt,105,13,13,09/11/2024,0.42,6,277,4,
5.93272E+17,Lux Suite at the Historic Jesse Buel House.,382970529,Thomas,,THIRTEENTH WARD,42.66911,-73.79869,Private room,128,1,118,29/12/2024,3.86,14,76,41,
5.97655E+17,Newly refurbished 2 bedroom close to Lark,30920241,Miri,,SIXTH WARD,42.65314,-73.76787,Entire home/apt,214,60,11,28/10/2024,0.34,2,88,4,
6.10091E+17,COZY rental near hospitals! Off street parking,40548251,Reyana,,NINTH WARD,42.652049,-73.7949665,Entire home/apt,112,1,66,28/12/2024,2.52,1,350,38,
6.17242E+17,Iconic City Center Apt in Downtown | Pets Allowed,433096110,Brian,,SIXTH WARD,42.65353,-73.7679,Entire home/apt,110,1,152,29/12/2024,4.68,4,354,54,
6.18673E+17,"Huge loft with a king bed, balcony and park views",2554853,Nim,,SIXTH WARD,42.65547943,-73.76625061,Entire home/apt,135,5,7,27/07/2024,0.26,1,267,2,
6.19695E+17,Modern luxury one bedroom with off street parking,353498132,Michael,,SECOND WARD,42.64489,-73.75731,Entire home/apt,123,13,10,01/08/2024,0.33,6,152,5,
6.20481E+17,"Lovely renovated, 2-bedroom home with free parking",457678547,Najeem Adegbemiga,,SEVENTH WARD,42.640217,-73.780815,Entire home/apt,140,2,16,22/07/2024,0.55,1,33,4,
6.2196E+17,One-of-a-Kind Luxe Urban Farmhouse w/ Heated Pool,382970529,Thomas,,FOURTEENTH WARD,42.66762,-73.79919,Entire home/apt,1482,2,14,29/11/2024,0.46,14,346,7,
6.23102E+17,Walk everywhere! Stylish apartment for up to 5,1176120,Julia,,THIRD WARD,42.65723,-73.75684,Entire home/apt,89,1,177,01/01/2025,5.49,1,36,56,
